animal,sex,drug,total_HTR,time_to_peak,peak_val,FWHM_length,FWHM_val
five_MEO_DMT_1,Female,5-MeO-DMT,89,2,9,3,3.5
five_MEO_DMT_2,Female,5-MeO-DMT,85,4,9,4,4.05
five_MEO_DMT_3,Female,5-MeO-DMT,68,0,7,12,2.3
five_MEO_DMT_4,Male,5-MeO-DMT,52,0,8,2,1.75
five_MEO_DMT_5,Male,5-MeO-DMT,87,2,8,3,3.45
five_MEO_DMT_6,Male,5-MeO-DMT,45,3,4,4,1.7
psilo_1,Female,Psilocybin,73,7,4,11,2.05
psilo_2,Female,Psilocybin,63,3,3,22,1.6
psilo_3,Female,Psilocybin,61,6,3,11,1.45
psilo_4,Male,Psilocybin,51,3,4,24,1.55
psilo_5,Male,Psilocybin,75,8,4,14,1.849999
psilo_6,Male,Psilocybin,85,3,4,7,1.95
sal_1,Female,Saline,14,40,2,27,0.2
sal_2,Female,Saline,43,31,2,29,0.4
sal_3,Female,Saline,20,2,1,8,0.45
sal_4,Male,Saline,16,3,2,12,0.45
sal_5,Male,Saline,26,7,3,6,0.75
sal_6,Male,Saline,18,0,1,11,0.3
sal_7,Male,Saline,18,10,2,16,0.35
DET_1,Female,6-Fluoro-DET,18,0,2,27,0.5
DET_2,Female,6-Fluoro-DET,47,1,2,25,0.85
DET_3,Female,6-Fluoro-DET,27,0,1,26,0.5
DET_4,Male,6-Fluoro-DET,27,1,1,29,0.45
DET_5,Male,6-Fluoro-DET,29,2,2,5,0.45
DET_6,Male,6-Fluoro-DET,58,0,2,29,0.55
CD3O_DMT_1,Female,5-CD3O-DMT,96,3,11,3,4.3
CD3O_DMT_2,Female,5-CD3O-DMT,115,1,11,4,5
CD3O_DMT_3,Female,5-CD3O-DMT,129,3,11,6,5.35
CD3O_DMT_4,Male,5-CD3O-DMT,143,3,11,4,4.45
CD3O_DMT_5,Male,5-CD3O-DMT,91,6,7,7,3.4
CD3O_DMT_6,Male,5-CD3O-DMT,115,2,9,3,3.4
